skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Lightning Sentry	271	ass	lightning sentry		45																																																																lightningsentry	assassintrap	5	S1	sentry lightning	lvl	Shock Field	skill('Shock Field'.blvl)	Charged Bolt Sentry	skill('Charged Bolt Sentry'.blvl)	Death Sentry	skill('Death Sentry'.blvl)						assassin_summon																																	1	0		rng												S2	S2	S2				1	4																								24	20					Charged Bolt Sentry									0	1					1	8	20	0	1																							10	# of shots (must match sentry lightning Param8)													18	Damage synergy									1								8															ltng	1	0	0	0	0	0	20	10	16	24	34	44	(skill('Shock Field'.blvl) + skill('Charged Bolt Sentry'.blvl))*par8						3		768	16000	0
Inferno Sentry	272	ass	inferno sentry		45																																																																infernosentry	assassintrap	5	S1	mon inferno sentry	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Wake of Fire Sentry	skill('Wake of Fire Sentry'.blvl)	Death Sentry	skill('Death Sentry'.blvl)			32			assassin_summon																																	1	0		rng												S2	S2	S2				1	4																								24	20					Wake of Fire Sentry									0	1					1	8	20	0	1																							10	# of shots (must match mon inferno sentry Param8)			40	Range (Duration of missile) baseline (must match mon inferno sentry Param3)	0	Range (Duration of missile) per level (must match mon inferno sentry Param4)							18	Damage synergy									1								4															fire	20	17	21	26	32	39	50	19	23	28	34	41	(skill('Fire Trauma'.blvl) + skill('Wake of Fire Sentry'.blvl))*par8						3		768	32000	0
Mind Blast	273	ass	mind blast		51																		33667				par7																																																											assassin_psychichammer							fist_will_cast								8						mindblast center	mindblast hit											1	0		rng												SC	SC	SC				1			1										1			1									24	20					Cloak of Shadows									0	1					1	8	15	0	1											dm56+skill('Psychic Hammer'.blvl)*par8	% chance for conversion	par3	Duration for conversion									50	Stun Length baseline	5	Stun Length per level	150	Duration of conversion	100	Duration of conversion random bonus range (from 0 to #)	15	% chance for conversion Min	40	% chance for conversion Max	4	Radius											1				9				8		10	2	5	8	8	8	20	2	5	8	8	8		stun														50	5	5	5		11		768	32000	0
Blades of Ice	274	ass	blades of ice	23	35		1		38	39		par1	par2	4						bladesoficecubes			34571	progressive_cold		par3		progressive_cold		progressive_tohit	par4																																																																									9	9			bladesoficeexplode	bladesoficecubes										1	0		h2h	3	h2h										SQ	A1	xx	16			1		1	1								1		1												24	20					Claws of Thunder									1	1					1	8	3	0	1									1		0	% Damage Dealt as Elemental											6	Radius for 2 Charges	3	Radius for 3 Charges	375	Duration	50	Attack Rating % per Charge	1	Freeze Length Divisor (Freeze Length = Cold Length / Freeze Length Divisor) (Used only if Etype = cold)					8	Damage synergy									1	25	10						8	128														cold	15	8	10	20	30	40	35	8	10	22	32	42	(skill('Royal Strike'.blvl)) * par8	100	10	10	10		4		768	32000	0
Dragon Flight	275	ass	dragon flight	12	52																						par7																																																										1	sorceress_teleport							dragonflight							5																	1		1	0		rng	4											SQ	A1	xx	21							1							1														24	20					Dragon Tail									1	1					1	8	15	0						1	0	1				ln12	Damage %											100	Damage % baseline	35	Damage % per level									38	Range	1	Always Hit (0 = disabled | 1 = enabled only when Charges are consumed)									1	60	25					1	8																																		13		768	32000	0
Death Sentry	276	ass	death sentry		45																																																																deathsentry	assassintrap	5	S1	mon death sentry	lvl	death sentry ltng	lvl	Fire Trauma	skill('Fire Trauma'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)			32			assassin_summon																																	1	0		rng												S2	S2	S2				1	4																								30	20					Lightning Sentry									0	1					1	8	20	0	1																							5	# of shots (must match death sentry ltng Param8 & mon death sentry Param8)													12	Damage synergy									1								8															ltng	1	0	0	0	0	0	50	8	14	22	28	34	(skill('Lightning Sentry'.blvl))*par8						3		896	64000	0
Blade Shield	277	ass	blade shield	28	54													blade shield attachment					33667	bladeshield		ln12	par4																																																											assassin_bladeshield																																	1	0		none												SC	SC	SC				1																									30	20					Blade Fury									0	1					1	8	27	2	1	1		1	par3																			3000	Duration baseline	300	Duration per level	25	Periodic Damage Delay	6	Radius							10	Damage synergy									1				32		3		8	96	1	5	6	7	7	7	30	5	6	7	7	7	(skill('Blade Sentinel'.blvl)+skill('Blade Fury'.blvl))*par8																				1		896	64000	0
Venom	278	ass	venom		18																			venomclaws		ln12		poisonmindam	enms	poisonmaxdam	exms	skill_poison_override_length	edma																																																					assassin_venom																																	1	0		none												SC	SC	SC				1																1									30	20					Fade									0	1					1	8	12	0	1	1																						3000	Duration baseline	300	Duration per level																					1								6															pois	24	6	8	10	12	14	32	6	8	10	12	14		10					1		896	64000	0
Shadow Master	279	ass	shadow master		49																			shadowwarrior				tohit	lvl*par2	strength	lvl*10	dexterity	lvl*10																fireresist	dm34	coldresist	dm34	lightresist	dm34	poisonresist	dm34				stat('item_pierce_fire_immunity'.accr)	item_pierce_light_immunity	stat('item_pierce_light_immunity'.accr)	item_pierce_poison_immunity	stat('item_pierce_poison_immunity'.accr)	item_pierce_damage_immunity	stat('item_pierce_damage_immunity'.accr)			shadowmaster	shadowwarrior	1	NU											42			assassin_summon																																	1	0		none												SC	SC	SC				1																									30	20					Shadow Warrior							15		0	1					1	7	70	1	1	1																						15	HP % per level	40	Attack Rating % per level	5	Resistance % Min	90	Resistance % Max	24	Magic Item Level baseline	3	Magic Item Level per level													1								8																																		3		896	64000	0
Royal Strike	280	ass	royal strike	23	34			40	143	41		par6	par5					royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice				progressive_other		375	par1	progressive_other		progressive_tohit	par7																																																																								14	83	15		royalstrikemeteorcenter	royalstrikechainlightning	royalstrikechaosice										1	0		h2h		mele										A1	A1	A2				1		1	1								1		1												30	20					Cobra Strike	Blades of Ice								1	1					1	8	4	0	1									1		par2	Meteor Explosion Radius											8	Chain Lightning Radius of jump to next target	6	Meteor Explosion Radius	30	Duration of ground fire baseline	15	Duration of ground fire per level	16	# of Ice Bolt Missiles created	10	"Chain Lightning Missiles Created Modifier (used as 64/#=Total Chain Lightning Missiles created) (if <=0, then use AuraRangeCalc)"	25	Attack Rating % per Charge											1	25	10						8	128																																	4	-3	896	64000	0
Wake Of Destruction Sentry	281				125													wake of destruction maker																																																																																			70						wake of destruction maker												1	0		none												SQ	SQ	S2				1																									1															0	0									1																	par8	# of shots																			5	# of shots (must match Wake of Fire Sentry Param1)									1								8																																					0	0
Imp Inferno	282			59	126													impinfernoflame1																																																																																			71						impinfernoflame1	impinfernoflame2			8	Missile Z Offset	lvl-1	Range per level (Duration of missile)					1	0		none												SQ	SQ	SC	6			1																									1															0	0									1											"rand(par3,par4)"	Anim Frame Adder (Min=1)	lvl-1	Range per level (Duration of missile)									30	Range baseline (Duration of missile)			100	Anim Frame Adder Min	120	Anim Frame Adder Max																	1								4															fire	18	15	15	15	15	15	37	15	15	15	15	15										0	0
Imp Fireball	283														impfireball		1																																																																					sorceress_cast_fire											fire_cast_2				72						impfireball				40	Missile Z Offset							1	0		none												SQ	SQ	S2				1																									1															0	0									1																																															1								8																																					0	0
Baal Taunt	284				28													baal taunt control																																																																														monster_baal_taunt_1				46							baal taunt control												1	0		none												SQ	SQ	A1				1																									1															0	0									1											3	Delay in lightning 	45	Delay in poison clouds									45	Delay in poison clouds	3	Delay in lightning 																					1								8																																					0	0
Baal Corpse Explode	285				141																						ln34																																																																																												1	0		none												SQ	SQ	S3				1																									1															0	0									1											0	Damage % of base HP for enemy Min	0	Damage % of base HP for enemy Max	0	% Damage Dealt as Elemental											6	Explosion Radius (half squares) baseline	1	Explosion Radius (half squares) per level	40	Radius to search for corpses baseline	0	Radius to search for corpses per level													1								8																																					0	0
Baal Monster Spawn	286														baal spawn monsters		1																																																																					baal_summon																				baal spawn monsters													1	0		none												SQ	SQ	S3				1																									1															0	0									1																																															1								8																																					0	0
Catapult Charged Ball	287				28													catapultchargedball																																																																																		47							catapultchargedball				16	Missile Fall Rate							1	0		none												SQ	SQ	A1				1																									1															0	0									1																	1	# of Bolt Missiles created (Min=1)																													1								8																																					0	0
Catapult Spike Ball	288				28													catapult spike ball																																																																																		47							catapult spike ball				16	Missile Fall Rate							1	0		none												SQ	SQ	A1				1																									1															0	0									1																	ln12	# of Spike Missiles created (Min=1)					20	# of Spike Missiles created baseline	5	# of Spike Missiles created per level																					1								8																																					0	0
Suck Blood	289			60	127																																																																																																																		1	0		none												SQ	SQ	A1				1																									1															0	0									1											par1	Heal % based on Damage Dealt	0	Lifesteal %	0	Manasteal %							25	Heal % based on Damage Dealt																							1								8		1						3																													0	0
Cry Help	290				128																	curseattract																																																																																																	1	0		none												SQ	SQ	S1				1																									1															0	0																				ln12	Duration											100	Duration baseline	20	Duration per level																					1								8																																					0	0
Healing Vortex	291														healing vortex																																																																																											healing vortex													1	0		none												SQ	SQ	S2				1																									1															0	0									1																																															1								8		10	5	5	5	5	5	20	5	5	5	5	5																								0	0
Teleport 2	292				98																																																																																															48	73																		1	0		none												SQ	SQ	S1				1																									1															0	0									1																																															1								8																																					0	0
Self-resurrect	293			61																																																																																																38																			1	0		none												SQ	SQ	S1				1																									1															0	0									1																																															1								8																																					0	0
Vine Attack	294				130													plague vines							slowed			velocitypercent	-100																																																													druidpod_attack_1	druidpod_walk1_1	druidpod_neutral_1								49							vine beast attack	vines	vine beast walk 1	vine beast neutral	"min(ln12,12)"	# of vine Missiles created	35	Missile Delay	6	Min Distance between Missiles			1	0		none												SQ	SQ	S1				1																									1															0	0									1											"min(ln12,24)"	# of Missiles created					20	Frames to apply aura to target (Min=5)					3	# of Missiles created baseline	1	# of Missiles created per level																					1								8																																					0	0
Overseer Whip	295				131																				bloodlust	par2		velocitypercent	par3	attackrate	par4	skill_armor_percent	par5	damagepercent	par6																																		suicideminion1			S1											33																																				1	0		none												SQ	SQ	A2				1																									1															0	0									1											par1	% chance to get Bloodlust											65	% chance to get Bloodlust	250	Bloodlust Duration	80	Velocity %	80	Attack Speed %	50	Armor %	100	Damage %													1								8																																					0	0
Barbs Aura	296				65																		65795	barbscontrol	barbs		ln12	item_attackertakesdamage	edmn																																																																																										1	0		none												SQ	SQ	A1				1																									1															0	0									1		1																					30	Radius baseline (must match Spirit of Barbs Param7)	2	Radius per level (must match Spirit of Barbs Param8)																					1								8																32	9	18	27	36	45																0	0
Wolverine Aura	297				65																		65795	wolverinecontrol	wolverine		ln12	item_tohit_percent	ln34	damagepercent	ln56																																																																																								1	0		none												SQ	SQ	A1				1																									1															0	0									1		1																					30	Radius baseline (must match Heart of Wolverine Param7)	2	Radius per level (must match Heart of Wolverine Param8)	25	Attack Rating % baseline (must match Heart of Wolverine Param3)	7	Attack Rating % per level (must match Heart of Wolverine Param4)	20	Damage % baseline (must match Heart of Wolverine Param5)	7	Damage % per level (must match Heart of Wolverine Param6)													1								8																																					0	0
Oak Sage Aura	298				65																		65795	oaksagecontrol	oaksage		ln12	item_maxhp_percent	ln34																																																																																										1	0		none												SQ	SQ	A1				1																									1															0	0									1		1																					30	Radius baseline (must match Oak Sage Param7)	2	Radius per level (must match Oak Sage Param8)	30	HP % baseline (must match Oak Sage Param1)	5	HP % per level (must match Oak Sage Param2)																	1								8																																					0	0
Imp Fire Missile	299				132													impmiss21																																																																				sorceress_cast_fire											fist_will_cast									impmiss21													1	0		none												A1	A1	A1																													1															0	0									1																																															1								8																																					0	0
Impregnate	300				133																																																																painworm1			NU																																															1	0		none												S1	S1	S1				1																									1															0	0									1																																															1								8																																					0	0
Siege Beast Stomp	301				134																						par5																																																																						siege_beast_dust				75																			0		none												A2	A2	A2				1																									1															0	0									1																							8	Camera Screen Shake Magnitude	5	Camera Screen Shake Build Up Duration	20	Camera Screen Shake Loop Duration	15	Camera Screen Shake Fade Duration	25	Radius															1				1				8		20	10	10	10	10	10	60	10	10	10	10	10																								0	0
MinionSpawner	302			62	135																																																																															spawnedminion																																			1	0		none												A1	A1	A1																													1															0	0									1																																															1								8																																					0	0
CatapultBlizzard	303				28													catapult cold ball																																																																																		47							catapult cold ball				16	Missile Fall Rate							1	0		none												A1	A1	A1																													1															0	0									1																																															1								8																																					0	0
CatapultPlague	304				28													catapult plague ball																																																																																		47							catapult plague ball				16	Missile Fall Rate							1	0		none												A1	A1	A1																													1															0	0									1																																															1								8																																					0	0
CatapultMeteor	305				28													catapult meteor ball									par1																																																																									47							catapult meteor ball				16	Missile Fall Rate							1	0		none												A1	A1	A1																													1															0	0									1																							5	Explosion Radius			50	Duration of ground fire baseline	3	Duration of ground fire per level																	1								8																																					0	0
BoltSentry	306				17													sentrychargedbolt																																																																																			23						sentrychargedbolt												1	0		none												SC	SC	xx																													1															0	0									1											ln12 + skill('Shock Field'.blvl)/skill('Charged Bolt Sentry'.par6)	# of Bolt Missiles created					par8 + skill('Lightning Sentry'.blvl)/skill('Charged Bolt Sentry'.par7)	# of shots					5	# of Bolt Missiles created baseline (must match Charged Bolt Sentry Param3)	0	# of Bolt Missiles created per level (must match Charged Bolt Sentry Param4)											5	# of shots (must match Charged Bolt Sentry Param1)									1								8																																					0	0
CorpseCycler	307			63														recycler delay									10																																																																									49			93				vine beast attack	recycler delay											1	0		none												SQ	SQ	S1				1							1																		1															0	0									1											ln12	Lifesteal %	dm34	Manasteal %									4	Lifesteal % baseline (must match CorpseCycler Param5)	1	Lifesteal % per level (must match CorpseCycler Param6)	0	Manasteal % Min	0	Manasteal % Max																	1								8																																					0	0
DeathMaul	308				136													death mauler																																																																																			76						death mauler	death mauler trail											1	0		none												A1	A1	xx																													1															0	0									1											96	Missile Anim Rate																																			1								8		10	4	4	4	4	4	20	4	4	4	4	4																								0	0
Defense Curse	309				30																		3		defense_curse	ln34	ln12	skill_armor_percent	-ln56																																																																							18	30						curseeffectred		cursecast										1	0		none												SC	SC	S2																													1															0	0									1																							3	Radius baseline	1	Radius per level	200	Duration baseline	75	Duration per level	50	Defense % baseline	5	Defense % per level													1																																													0	0
Blood Mana	310				30																		3		blood_mana	ln34	ln12																																																																									18	30						curseeffectred		cursecast										1	0		none												SC	SC	S2																													1															0	0									1																							3	Radius baseline	1	Radius per level	200	Duration baseline	75	Duration per level	40	"Max HP Limit (If target HP reaches this value or lower, then remove the Curse)"															1								8		10	4	4	4	4	4	20	4	4	4	4	4																								0	0
mon inferno sentry	311			53	95													inferno sentry 1																																																																																		52	77						inferno sentry 1	inferno sentry 2			-37	Missile Z Offset							1	0		none												SQ	SQ	xx																													1															0	0									1											ln34/2 + skill('Wake of Fire Sentry'.blvl)	"Missile Range (If 0, then use Missile Param2)"	par1 + skill('Wake of Fire Sentry'.blvl)	Anim Frame Adder (Min=1)	3	Anim Frame Density (Min=1)	par8	# of shots					15	Anim Frame Adder (Min=1)			40	Range (Duration of missile) baseline	0	Range (Duration of missile) per level							10	# of shots (must match Inferno Sentry Param1)									1								8																																					0	0
mon death sentry	312				55																						ln34																																																																					necromancer_corpseexp_1	death_sentry			50	78						corpseexplosion	deathsentryexplode											1	0		none												SQ	SQ	xx											1																		1															0	0									1											par1	Damage % of base HP for enemy Min	par2	Damage % of base HP for enemy Max	par5	% Damage Dealt as Elemental	par8 + skill('Fire Trauma'.blvl)/3	# of shots					40	Damage % of base HP for enemy Min 	80	Damage % of base HP for enemy Max	10	Radius (half squares)	1	Radius per level (half squares)	50	Damage % Dealt as Elemental					5	# of shots (must match Death Sentry Param1)									1								8															fire																						0	0
sentry lightning	313														sentrylightningbolt																																																																																											sentrylightningbolt													1	0		none												SQ	SQ	xx																				1									1															0	0									1																	par8	# of Missiles shot																			10	# of shots (must match Lightning Sentry Param1)									1								8																																					0	0
fenris rage	314				137																			fenris_rage		par1		damagepercent	par2																																																													necromancer_corpseexp_1										51	79						corpseexplosion												1	0		none												A1	A1	A1											1									1									1															0	0									1																							500	Duration	100	Damage %																					1								8																																					0	0
Baal Tentacle	315				140																																																																																																																		1	0		none												S2	S2	S2				1																									1															0	0									1																																															1																																													0	0
Baal Nova	316				22													baal nova																																																																				baal_novacast											fire_cast_2				25						baal nova				0	Missile Velocity Adder							1	0		none												S3	S3	S3																													1															0	0									1											0	Missile Velocity Adder																																			1								8															fire	50	24	32	32	32	32	75	24	32	32	32	32										0	0
Baal Inferno	317			53	95													baal inferno																																																																				baal_missilecast														54	54						baal inferno												1	0		none												SQ	SQ	xx																													1															0	0									1											0	"Missile Range (If 0, then use Missile Param2)"	par1	Anim Frame Adder (Min=1)	2	Anim Frame Density (Min=1)							20	Anim Frame Adder (Min=1)																							1								5															mag	64	48	48	48	48	48	96	48	48	48	48	48										0	0
Baal Cold Missiles	318				139													baal cold maker																																																																				baal_coldtrailcast															81						baal cold maker												1	0		none												A1	A1	A1				1																									1															0	0									1																																															1								8															cold	20	9	13	13	13	13	40	9	13	13	13	13		200	50	50	50					0	0
MegademonInferno	319			53	95													megademoninferno																																																																																		54	54						fetishinferno1	fetishinferno2											1	0		none												SQ	SQ	S1																													1															0	0									1											0	"Missile Range (If 0, then use Missile Param2)"	par1	Anim Frame Adder (Min=1)	2	Anim Frame Density (Min=1)							15	Anim Frame Adder (Min=1)																							1								8																																					0	0
EvilHutSpawner	320			49	91																	spawnedflames																																																																														36	50																		1	0		none												SQ	SQ	xx																													1															0	0									1																																															1								8																																					0	0
CountessFirewall	321				24													countessfirewallmaker	countessfirewall																																																																			sorceress_cast_fire															26						countessfirewallmaker												1	0		none												SQ	SQ	A1																													1															0	0									1											par1	# of max Fire Walls (oldest is removed when the limit is hit)											0	# of max Fire Walls (oldest is removed when the limit is hit)																							1																																													0	0
ImpBolt	322				17													imp charged bolt																																																																																			23						imp charged bolt												1	0		none												SQ	SQ	A1																													1															0	0									1											lvl+2	# of Bolt Missiles created																																			1								8																																					0	0
Horror Arctic Blast	323			53	95													frozenhorror arcticblast1																																																																																		54	54						frozenhorror arcticblast1	frozenhorror arcticblast1											1	0		none												SQ	SQ	xx	18																												1															0	0									1											0	"Missile Range (If 0, then use Missile Param2)"	par1	Anim Frame Adder (Min=1)	2	Anim Frame Density (Min=1)							15	Anim Frame Adder (Min=1)																							1								8																																					0	0
death sentry ltng	324														sentrylightningbolt2																																																																																											sentrylightningbolt2													1	0		none												SQ	SQ	xx																				1									1															0	0									1																																					5	# of shots (must match Death Sentry Param1)									1								8																																					0	0
VineCycler	325			63														vine recycler delay									10																																																																									49			93				vine beast attack	recycler delay											1	0		none												SQ	SQ	S1				1							1																		1															0	0									1													ln12	Manasteal %			5	Frames to apply aura to target (Min=5)					4	Manasteal % baseline (must match Vines Param5)	1	Manasteal % per level (must match Vines Param6)																					1								8																																					0	0
BearSmite	326			32	2																																																																																	druidbear_attack_1																																	1	9		h2h												S1	S1	xx				1		1	1																						1															0	0																				ln34	Damage %	"max(250,ln12)"	Stun Length	0	Attack Speed %	0	% Damage Dealt as Elemental (Used only if there is an Etype)					15	Stun Length baseline	5	Stun Length per level	15	Damage % baseline	15	Damage % per level																	1				8				8	128																																				0	0
Resurrect2	327				97																																																																																												healing			39																			1	0		none												SQ	SQ	xx							1	1	1		1					1													1															0	0									1																																															1																																													0	0
BloodLordFrenzy	328			64	109																			monfrenzy		ln12		velocitypercent	dm34	attackrate	dm34	other_animrate	dm34																																																					weapon_giant_1		1		weapon_giant_1																													1	3		none												SQ	SQ	A2				1		1	1																						1															0	0									1											0	Damage %											200	Duration baseline	25	Duration per level	30	Speed % Min	110	Speed % Max																	1	10	10						8	128																																				0	0
Baal Teleport	329				98																																																																																															48	73							baalteleport											1	0		none												SQ	SQ	S1				1																									1															0	0									1																																															1								8																																					0	0
Imp Teleport	330				129																			attached																																																														sorceress_teleport														48	74						imp teleport	imp teleport											1	0		none												SQ	SQ	S1				1																									1															0	0									1																																															1								8																																					0	0
Baal Clone Teleport	331				98																																																																																															48	73						baalclonedeath	baalteleport											1	0		none												SQ	SQ	S1				1																									1															0	0									1																																															1								8																																					0	0
ZakarumLightning	332														monsterlight																																																																							sorceress_cast_lightning											light_cast_1									monsterlight													1	0		none												SQ	SQ	S1																													1															0	0									1																																															1								8																																					0	0
VampireMissile	333														firehead																																																																																											firehead													1	0		none												SC	SC	SC																													1															0	0									1																																															1								8																																					0	0
MephistoMissile	334														mephisto																																																																																											mephisto													1	0		none												SC	SC	A2																													1															0	0									1																																															1								8																																					0	0
DoomKnightMissile	335				148													undeadmissile1																																																																																			94						undeadmissile1												1	0		none												SC	SC	S1																													1															0	0									1																																															1								8																																					0	0
RogueMissile	336				110													rogue1																																																																																			66						rogue1												1	0		none												A1	A1	A1																													1															0	0									1																																															1								8																																					0	0
HydraMissile	337														hydra																																																																																											hydra													1	0		none												SC	SC	SC																													1															0	0									1																																															1								8																																					0	0
NecromageMissile	338				149													necromage1																																																																																			95						necromage1												1	0		none												SC	SC	A1																													1															0	0									1																																															1								8																																					0	0
MonBow	339			4											cr_arrow6																																																																																					11						cr_arrow6													1	0		rng												A1	A1	A1				1																									1															0	0									1																																															1								8	128																																				0	0
MonFireArrow	340			4											firearrow																																																																																					11						firearrow													1	0		rng												A1	A1	A1				1																									1															0	0									1																																															1	10	10						8	128														fire	1	8	8	8	8	8	4	9	9	9	9	9										0	0
MonColdArrow	341			4											coldarrow																																																																																					11						coldarrow													1	4		rng												A1	A1	A1				1																									1															0	0									1																																															1	10	10						8	128														cold	1	7	7	7	7	7	4	8	8	8	8	8		100	25	25	25					0	0
MonExplodingArrow	342			4											explodingarrow																																																																																					11						explodingarrow													1	5		rng												A1	A1	A1				1																									1															0	0									1																																															1	10	10						8	128														fire	2	8	8	8	8	8	6	9	9	9	9	9										0	0
MonFreezingArrow	343			4											freezingarrow																																																																																					11						freezingarrow													1	7		rng												A1	A1	A1				1																									1															0	0									1											par1	damage radius											5	Radius of impact																							1	10	10						8	128														cold	2	7	7	7	7	7	6	8	8	8	8	8		100	25	25	25					0	0
MonPowerStrike	344			6	2																																																																																																																		1	4		h2h												A1	A1	A1				1		1	1								1														1															0	0									1																	0	% Damage Dealt as Elemental (Used only if there is an Etype)																													1	20	15						8	128														ltng	1	0	0	0	0	0	16	12	12	12	12	12										0	0
SuccubusBolt	345			4											succubusmiss																																																																																					11						succubusmiss													1	0		rng												SC	SC	S2				1																									1															0	0									1																																															1								8															mag	10	2	4	6	6	6	15	2	5	7	7	7										0	0
MephFrostNova	346				22													mephfrostnova	mephfrostnova	mephfrostnova																																																																		sorceress_cast_cold															25						frostnova				0	Missile Velocity Adder							1	6		none												SC	SC	A2																				1									1															0	0									1											0	Missile Velocity Adder																																			1								8															cold	40	20	20	20	20	20	60	20	20	20	20	20		200	50	50	50					0	0
MonIceSpear	347			6	2																																																																																																																		1	4		h2h												A1	A1	A1				1		1	1								1														1															0	0									1																																															1	20	15						8	128														cold	10	8	8	8	8	8	14	9	9	9	9	9		125	25	25	25					0	0
ShamanIce	348														glacialspike											ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																											sorceress_cast_cold																				glacialspike													1	7		none												SC	SC	xx																				1									1															0	0									1																							4	Radius baseline	0	Radius per level	50	Freeze Length baseline	3	Freeze Length per level																	1								8															cold	4	10	14	14	14	14	12	10	15	15	15	15		125	50	50	50					0	0
Diablogeddon	349				124													diablogeddoncontrol	diablogeddoncontrol	diablogeddoncontrol				armageddon		ln12	par3																																																											druid_firecast_a																	92				diablogeddontail	diablogeddonrock			25	Missile Frames	25	Missile Fall Rate	15	Missile Slide Rate			1	0		none												SC	SC	S3				1																									1															0	0									1																							1000	Duration baseline	50	Duration per level	8	Radius	8	Delay between Missiles created																	1								8		4	4	6	8	10	12	16	4	7	9	12	14		fire	25	15	20	25	30	35	75	16	22	27	33	38										0	0
Delerium Change	350		delerium change		116																			delerium		1500		velocitypercent	33	attackrate	33	other_animrate	33																																																																			45																			1	0		none												SC	SC	NU				1																1									1															0	0																																																								1								8																																					0	0
NihlathakCorpseExplosion	351			17	55																						min(30,16+lvl)																																																										1	necromancer_corpse_cast								necromancer_corpseexp_1						21	32						corpseexplosion	explodingarrowexp	redlightmissile										1	0		none												SC	SC	xx								1		1	1									1									1															0	0									1											par1	Damage % of base HP for enemy Min	par2	Damage % of base HP for enemy Max	par5	% Damage Dealt as Elemental							10	Damage % of base HP for enemy Min 	20	Damage % of base HP for enemy Max					50	Damage % Dealt as Elemental															1								8															fire																						0	0
