skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	*eol
wearbear	2	2	3	2	22		Skillname229	Skillld229	Skillld229	Skillan229																	74	StrSkill21		ln34		74	StrSkillDamagePercent		ln12																						36	StrSkill3		usmc	256	36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	25	25	36	StrSkillDurationSingular	StrSkill20	1000+skill('shape shifting'.ln12)	25	74	StrSkill100		par5 + skill('Shape Shifting'.ln34)							40	Sksyn	Skillname229	2		18	Skillname225																													0
molten boulder	3	2	1	3	34		Skillname230	Skillld230	Skillld230	Skillan230	5													moltenboulderfirepath			36	StrSkill3		usmc	256	75	StrSkillFireDamageAveragePerSecond		m1eo*25*3*(mael+100)/100/256	m1ey*25*3*(mael+100)/100/256	75	StrSkill5		enma	exma	75	StrSkill4		pnma	pxma											36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	25	25																					40	Sksyn	Skillname230	2		76	Damplev	Skillname245	par7		76	Firedplev	Skillname226	par8																						0
arctic blast	3	2	3	3	36		Skillname231	Skillld231	Skillld231	Skillan231	8																74	StrSkillManaCostPerSecond		mps		36	StrSkillRangeSingular	StrSkill56	ln12/4*2	3	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkillColdDamageAveragePerSecond		enms*12/256	exms*12/256											74	StrSkill115		par3																						40	Sksyn	Skillname231	2		76	Colddplev	Skillname236	par8																											0
cycle of life	1	3	3	1	8		Skillname232	Skillld232	Skillld232	Skillan232																	74	StrSkillHealPercent		ln56		13	StrSkill42		(lvl-1)*par3																						36	StrSkill3		usmc	256																																																								0
feral rage	2	3	1	2	54		Skillname233	Skillld233	Skillld233	Skillan233	7	ln56											2				74	StrSkillDamagePercent		ln56		75	StrSkillLifeStealRange		4	par2 * lvl + 8	75	StrSkillRunWalkRange		19	((110*(par8+lvl/par7)) * (par4-par3))/(100 * ((par8+lvl/par7)+6)) + par3	74	StrSkill22		toht												36	StrSkillDurationSingular	StrSkill20	par1	25	36	StrSkill3		usmc	256																																																			0
maul	2	3	3	2	56		Skillname234	Skillld234	Skillld234	Skillan234	1												2				36	StrSkillStunLengthSingular	StrSkill48	"min(250,dm56)"	25	75	StrSkillDamagePercentRange		par3	par3 * (lvl/par7+par8)	75	StrSkillAttackSpeedRange		par1	par1 * (lvl/par7+par8)	74	StrSkill22		toht												36	StrSkillDurationSingular	StrSkill20	par4	25	36	StrSkill3		usmc	256																																																			0
eruption	3	3	1	3	38		Skillname235	Skillld235	Skillld235	Skillan235	5													erruption center			75	StrSkill5		enma	exma																										36	StrSkill3		usmc	256	36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	50	25	36	StrSkillDurationSingular	StrSkill20	miss('eruption center'.rang)	25											40	Sksyn	Skillname235	2		76	Firedplev	Skillname226	par8		76	Firedplev	Skillname245	par8																						0
cyclone armor	3	3	3	3	40		Skillname236	Skillld236	Skillld236	Skillan236																	36	StrSkill3		usmc	256	74	StrSkill40		(ln12*(100+(skill('Twister'.blvl)+skill('Tornado'.blvl)+skill('Hurricane'.blvl))*par8)/100)																																															40	Sksyn	Skillname236	2		76	Damplev	Skillname241	par8		76	Damplev	Skillname246	par8		76	Damplev	Skillname251	par8																	0
heart of wolverine	1	4	1	1	10		Skillname237	Skillld237	Skillld237	Skillan237																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln78*2	3	74	StrSkillDamagePercent		ln56		74	StrSkill22		ln34		13	StrSkill42		(lvl-1)*par1																																																																			0
summon fenris	1	4	2	1	12		Skillname238	Skillld238	Skillld238	Skillan238																	74	StrSkill21		(par6 * lvl) + skill('Summon Spirit Wolf'.lvl)* skill('Summon Spirit Wolf'.par6)		74	StrSkill100		ln12		74	ESkillWolves		"min(lvl,par3)"		75	StrSkill4		pnma*(100+skill('Summon Grizzly'.ln12))/100	pxma*(100+skill('Summon Grizzly'.ln12))/100	13	StrSkill42		(par7 * lvl) + ln12							74	StrSkill22		skill('Summon Spirit Wolf'.lvl)* skill('Summon Spirit Wolf'.par2)		36	StrSkill3		usmc	256																40	Sksyn	Skillname238	2		76	AttRateplev	Skillname228	skill('Summon Spirit Wolf'.par2)		76	Defplev	Skillname228	skill('Summon Spirit Wolf'.par6)		76	Damplev	Skillname248	skill('Summon Grizzly'.par2)																	0
rabies	2	4	1	2	24		Skillname239	Skillld239	Skillld239	Skillan239	23												2				36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht																	36	StrSkill3		usmc	256																					40	Sksyn	Skillname239	2		76	Poisdplev	Skillname223	par8																											0
fire claws	2	4	2	2	26		Skillname240	Skillld240	Skillld240	Skillan240	5												1				75	StrSkill5		enma	exma	74	StrSkill22		toht																						36	StrSkill3		usmc	256																					40	Sksyn	Skillname240	2		76	Firedplev	Skillname226	par8		76	Firedplev	Skillname230	par8																						0
twister	3	4	2	3	42		Skillname241	Skillld241	Skillld241	Skillan241	5																75	StrSkill4		pnma	pxma																										36	StrSkill3		usmc	256	36	StrSkillStunLengthSingular	StrSkill48	par2+par7*skill('Arctic Blast'.blvl)	25																40	Sksyn	Skillname241	2		76	Durateplev	Skillname231	par7 * 100 / par2		76	Damplev	Skillname246	par8		76	Damplev	Skillname251	par8																	0
vines	1	5	3	1	14		Skillname242	Skillld242	Skillld242	Skillan242																	36	StrSkill3		usmc	256	74	StrSkill88		ln56		13	StrSkill42		(lvl-1)*par3																																																																													0
hunger	2	5	2	2	58		Skillname243	Skillld243	Skillld243	Skillan243	14												1				74	EskillManaSteal		dm34		74	EskillLifeSteal		dm12		74	StrSkill22		toht																	36	StrSkill3		usmc	256	74	StrSkillDamagePercent		par5																																																				0
shock wave	2	5	3	2	28		Skillname244	Skillld244	Skillld244	Skillan244	5																36	StrSkillStunLengthSingular	StrSkill48	ln12	25	75	StrSkill4		pnma	pxma																					36	StrSkill3		usmc	256																					40	Sksyn	Skillname244	2		76	Damplev	Skillname234	par8																											0
volcano	3	5	1	3	44		Skillname245	Skillld245	Skillld245	Skillan245	5																75	StrSkill5		enma	exma	75	StrSkill4		pnma	pxma																					36	StrSkill3		usmc	256	36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	100	25	36	StrSkillDurationSingular	StrSkill20	150	25											40	Sksyn	Skillname245	2		76	Damplev	Skillname230	par7		76	Firedplev	Skillname235	par8		76	Firedplev	Skillname250	par8																	0
tornado	3	5	2	3	46		Skillname246	Skillld246	Skillld246	Skillan246	5																75	StrSkill4		pnma	pxma																										36	StrSkill3		usmc	256																					40	Sksyn	Skillname246	2		76	Damplev	Skillname236	par8		76	Damplev	Skillname241	par8		76	Damplev	Skillname251	par8																	0
spirit of barbs	1	6	1	1	4		Skillname247	Skillld247	Skillld247	Skillan247																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln78*2	3	74	ModStr1v		pnma		13	StrSkill42		(lvl-1)*par1																																																																								0
summon grizzly	1	6	2	1	18		Skillname248	Skillld248	Skillld248	Skillan248																	74	StrSkillDamagePercent		ln12		75	StrSkill4		pnma*(100+ln12)/100	pxma*(100+ln12)/100	13	StrSkill42		(par7 * lvl) + (skill('Summon Fenris'.par2) * skill('Summon Fenris'.lvl))																	74	StrSkill21		skill('Summon Spirit Wolf'.lvl)* skill('Summon Spirit Wolf'.par6)		74	StrSkill22		skill('Summon Spirit Wolf'.lvl) * skill('Summon Spirit Wolf'.par2)		36	StrSkill3		usmc	256											40	Sksyn	Skillname248	2		76	AttRateplev	Skillname228	skill('Summon Spirit Wolf'.par2)		76	Defplev	Skillname228	skill('Summon Spirit Wolf'.par6)		76	Hpplev	Skillname238	skill('Summon Fenris'.par2)																	0
fury	2	6	1	2	30		Skillname249	Skillld249	Skillld249	Skillan249	7	ln34											2				74	StrSkillDamagePercent		ln34		74	StrSkill22		toht		74	StrSkill11		"min((par5+lvl-1),par6)"																	36	StrSkill3		usmc	256																																																								0
armageddon	3	6	1	3	50		Skillname250	Skillld250	Skillld250	Skillan250	5													armageddonfire			75	StrSkillFireDamageAveragePerSecond		m1eo*25*3*(mael+100)/100/256	m1ey*25*3*(mael+100)/100/256	75	StrSkill5		enma	exma	75	StrSkill4		pnma	pxma																36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	par3*2	3	36	StrSkillDurationSingular	StrSkill20	ln12 + skill('Eruption'.blvl) * par7	25											40	Sksyn	Skillname250	2		76	Secplev2	Skillname235	2		76	Firedplev	Skillname226	par8		76	Firedplev	Skillname230	par8		76	Damplev	Skillname245	par6												0
hurricane	3	6	2	3	48		Skillname251	Skillld251	Skillld251	Skillan251	5																75	StrSkill6		enma	exma																										36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	par3*2	3	36	StrSkillDurationSingular	StrSkill20	ln12 + skill('Cyclone Armor'.blvl) * par7	25											40	Sksyn	Skillname251	2		76	Secplev2	Skillname236	2		76	Damplev	Skillname241	par8		76	Damplev	Skillname246	par8																	0
fire trauma	1	1	2	1	0		Skillname252	Skillld252	Skillld252	Skillan252	5																36	StrSkill3		usmc	256	75	StrSkill5		enma	exma																					36	StrSkillRadiusSingular	StrSkill18	par1*2	3																					40	Sksyn	Skillname252	2		76	Firedplev	Skillname257	par8		76	Firedplev	Skillname262	par8		76	Firedplev	Skillname263	par8		76	Firedplev	Skillname272	par8		76	Firedplev	Skillname273	par8							0
claw mastery	2	1	2	2	20		Skillname253	Skillld253	Skillld253	Skillan253																	74	eskillincasemasteryX		macr		74	StrSkillDamagePercent		madm		74	StrSkill22		math																																																																													0
psychic hammer	2	1	3	2	22		Skillname254	Skillld254	Skillld254	Skillan254	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma	75	StrSkill4		pnma	pxma																																																																												0
tiger strike	3	1	2	3	40		Skillname255	Skillld255	Skillld255	Skillan255	5												1				74	StrSkillAssassinTigerStrikeCharge3		3*ln12		74	StrSkillAssassinTigerStrikeCharge2		2*ln12		74	StrSkillAssassinTigerStrikeCharge1		ln12		74	StrSkill22		toht												36	StrSkill3		usmc	256																																																								0
dragon talon	3	1	3	3	42		Skillname256	Skillld256	Skillld256	Skillan256	15												5				74	Eskillkickdamage		ln12		74	StrSkill22		toht		36	EskillKickSing	EskillKickPlur	lvl/6+1																	36	StrSkill3		usmc	256																																																								0
shock field	1	2	1	1	2		Skillname257	Skillld257	Skillld257	Skillan257	5													shock field on ground			36	StrSkillDurationSingular	StrSkill20	miss('shock field on ground'.rang)	25	75	StrSkillLightningDamageAveragePerSecond		edmn	edmx	74	ESkillSpikes		par1+lvl/par2+skill('Fire Trauma'.blvl)/3																	36	StrSkill3		usmc	256	36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	15	25																40	Sksyn	Skillname257	2		77	Missplev3	Skillname252	1	3	76	Ltngdplev	Skillname262	par8		76	Ltngdplev	Skillname272	par8																	0
blade sentinel	1	2	3	1	4		Skillname258	Skillld258	Skillld258	Skillan258	5												1				36	StrSkillDurationSingular	StrSkill20	ln12	25	75	StrSkill4		pnma	pxma																					36	StrSkill3		usmc	256	36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	25	25	74	WeapDamsk		96*100/128												40	Sksyn	Skillname258	2		76	Damplev	Skillname267	par8		76	Damplev	Skillname278	par8																						0
quickness	2	2	1	2	36		Skillname259	Skillld259	Skillld259	Skillan259																	36	StrSkillDurationSingular	StrSkill20	ln56	25	74	StrSkill89		dm12		74	StrSkill106		dm34																	36	StrSkill3		usmc	256																																																								0
fists of fire	3	2	1	3	44		Skillname260	Skillld260	Skillld260	Skillan260	20			fire	enma	exma	fire	enma	exma	fire	enma+m1eo*50/256	exma+m1ey*50/256	2	fistsoffirefirewall			75	Eskillfistsoffire3		m1eo*50/256	m1ey*50/256	74	Eskillfistsoffire2		par1		75	Eskillfistsoffire1		enma	exma	74	StrSkill22		toht												36	StrSkill3		usmc	256																					40	Sksyn	Skillname260	2		76	Firedplev	Skillname281	par8																											0
dragon claw	3	2	3	3	46		Skillname261	Skillld261	Skillld261	Skillan261	19	ln12											2				74	StrSkillDamagePercent		ln12 + (skill('Claw Mastery'.blvl) * par7)		74	StrSkill22		toht																						36	StrSkill3		usmc	256																					40	Sksyn	Skillname261	2		76	Damplev	Skillname253	par7																											0
charged bolt sentry	1	3	1	1	6		Skillname262	Skillld262	Skillld262	Skillan262																	75	StrSkill7		enma	exma																										36	StrSkill3		usmc	256	74	StrSkill72		ln34 + skill('Shock Field'.blvl)/3		74	ESkillShoots		par1 + skill('Lightning Sentry'.blvl)/4												40	Sksyn	Skillname262	2		77	Boltplev3	Skillname257	1	par6	77	Shotplev3	Skillname272	1	par7	76	Ltngdplev	Skillname252	par8		76	Ltngdplev	Skillname272	par8												0
wake of fire sentry	1	3	2	1	8		Skillname263	Skillld263	Skillld263	Skillan263																	75	StrSkill5		enma	exma																										36	StrSkill3		usmc	256	74	ESkillShoots		par1																	40	Sksyn	Skillname263	2		76	Firedplev	Skillname252	par8		76	Firedplev	Skillname273	par8																						0
weapon block	2	3	2	2	26		Skillname264	Skillld264	Skillld264	Skillan264																	74	StrSkill24		dm12																																																																																							0
cloak of shadows	2	3	3	2	24		Skillname265	Skillld265	Skillld265	Skillan265																	36	StrSkillDurationSingular	StrSkill20	ln34	25	74	StrSkill25		"-min(ln56,95)"		74	StrSkill21		ln78																	36	StrSkill3		usmc	256	36	StrSkillRangeSingular	StrSkill56	dm12*2	3																																																			0
cobra strike	3	3	2	3	50		Skillname266	Skillld266	Skillld266	Skillan266	5												1				74	StrSkillAssassinCobraStrikeCharge3		2*ln12		74	Eskillpudmana		ln12		74	StrSkillAssassinCobraStrikeCharge1		ln12		74	StrSkill22		toht												36	StrSkill3		usmc	256																																																								0
blade fury	1	4	3	1	10		Skillname267	Skillld267	Skillld267	Skillan267	24												1				36	EskillPerBlade		usmc	256	75	StrSkill4		pnma	pxma	74	StrSkill22		toht																	74	StrSkill115		par3		74	WeapDamsk		96*100/128																	40	Sksyn	Skillname267	2		76	Damplev	Skillname258	par8		76	Damplev	Skillname278	par8																						0
fade	2	4	1	2	30		Skillname268	Skillld268	Skillld268	Skillan268																	36	StrSkillDurationSingular	StrSkill20	ln56	25	74	StrSkill54		dm12		74	ModStr2uPercent		ln78		74	StrSkill85		dm34												36	StrSkill3		usmc	256																																																								0
shadow warrior	2	4	2	2	38		Skillname269	Skillld269	Skillld269	Skillan269																	36	StrSkill3		usmc	256	74	StrSkill21		(lvl-1)*par3		74	StrSkillAttackRating		lvl*par2		13	StrSkill42		(lvl-1)*par1												36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	15	25																																																								0
claws of thunder	3	4	1	3	58		Skillname270	Skillld270	Skillld270	Skillan270	20			ltng	enma	exma	ltng	enma+m2en	exma+m2ex	ltng	enma+m2en+m3en	exma+m2ex+m3ex	2		clawsofthundernova	clawsofthunderbolt	75	Eskillthunder3		m3en	m3ex	75	Eskillthunder2		m2en	m2ex	75	Eskillthunder1		enma	exma	74	StrSkill22		toht												36	StrSkill3		usmc	256																					40	Sksyn	Skillname270	2		76	Ltngdplev	Skillname281	par8																											0
dragon tail	3	4	3	3	48		Skillname271	Skillld271	Skillld271	Skillan271	16												5				74	StrSkillFireDamagePercent		ln12		74	StrSkill22		toht																						36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	par3*2	3																																																			0
lightning sentry	1	5	1	1	12		Skillname272	Skillld272	Skillld272	Skillan272	5																75	StrSkill7		enma	exma																										36	StrSkill3		usmc	256	74	ESkillShoots		par1																	40	Sksyn	Skillname272	2		76	Ltngdplev	Skillname257	par8		76	Ltngdplev	Skillname262	par8																						0
inferno sentry	1	5	2	1	14		Skillname273	Skillld273	Skillld273	Skillan273	8																75	StrSkillFireDamageAveragePerSecond		enms*12/256	exms*12/256																										36	StrSkill3		usmc	256	36	StrSkillRangeSingular	StrSkill56	(ln34/2 + skill('Wake of Fire Sentry'.blvl)	3	74	ESkillShoots		par1												40	Sksyn	Skillname273	2		77	Rangplev	Skillname263	0	5	76	Firedplev	Skillname252	par8		76	Firedplev	Skillname263	par8																	0
mind blast	2	5	3	2	34		Skillname274	Skillld274	Skillld274	Skillan274	5																74	StrSkill99		dm56		36	StrSkillStunLengthSingular	StrSkill48	"min(250,edln)"	25	75	StrSkill4		pnma	pxma																36	StrSkill3		usmc	256	75	StrSkillDurationRange		par3/25	(par3+par4)/25																																																			0
blades of ice	3	5	1	3	52		Skillname275	Skillld275	Skillld275	Skillan275	20			cold	enma	exma	cold	enma	exma	cold	enma	exma	2				36	Eskillbladesofice3		edln	25	36	Eskillbladesofice2		par1*2	3	75	Eskillbladesofice1		enma	exma	74	StrSkill22		toht												36	StrSkill3		usmc	256																					40	Sksyn	Skillname275	2		76	Colddplev	Skillname281	par8																											0
dragon flight	3	5	3	3	54		Skillname276	Skillld276	Skillld276	Skillan276	15												5				74	Eskillkickdamage		ln12		74	StrSkill22		toht																						36	StrSkill3		usmc	256																																																								0
death sentry	1	6	1	1	16		Skillname277	Skillld277	Skillld277	Skillan277	5																36	StrSkillRadiusSingular	StrSkill18	skill('mon death sentry'.par3) + skill('mon death sentry'.par4) * (lvl - 1)	3	75	StrSkill7		enma	exma																					36	StrSkill3		usmc	256	74	ESkillShoots		par1 + skill('Fire Trauma'.blvl)/3		75	Corexpdam		skill('mon death sentry'.par1)	skill('mon death sentry'.par2)											40	Sksyn	Skillname277	2		77	Shotplev3	Skillname252	1	3	76	Ltngdplev	Skillname272	par8																						0
blade shield	1	6	3	1	18		Skillname278	Skillld278	Skillld278	Skillan278	5												1				36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	ln12	25	75	StrSkill4		pnma	pxma																36	StrSkillRadiusSingular	StrSkill18	par4*2	3	74	WeapDamsk		96*100/128																	40	Sksyn	Skillname278	2		76	Damplev	Skillname258	par8		76	Damplev	Skillname267	par8																						0
venom	2	6	1	2	28		Skillname279	Skillld279	Skillld279	Skillan279																	36	StrSkillDurationSingular	StrSkill20	ln12	25	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256																36	StrSkill3		usmc	256																																																								0
shadow master	2	6	2	2	32		Skillname280	Skillld280	Skillld280	Skillan280																	36	StrSkill3		usmc	256	74	StrSkill54		((110*(lvl-1))/(lvl+5)*(par4-par3))/100+par3		74	StrSkillAttackRating		lvl*par2		13	StrSkill42		(lvl-1)*par1												36	StrSkillCastingDelaySingular	StrSkillCastingDelayPlural	15	25																																																								0
royal strike	3	6	2	3	56		Skillname281	Skillld281	Skillld281	Skillan281	18			fire	m1en	m1ex	ltng	m2en	m2ex	cold	m3en	m3ex	1	royalstrikemeteor	royalstrikechainlightning	royalstrikechaosice	75	Eskillphoenix3		m3en	m3ex	75	Eskillphoenix2		m2en	m2ex	75	StrSkillFireDamageAveragePerSecond		miss('royalstrikemeteorfire'.edns)*3*25*(mael+100)/100/256	miss('royalstrikemeteorfire'.edxs)*3*25*(mael+100)/100/256	75	Eskillphoenix1		m1en	m1ex	74	StrSkill22		toht							36	StrSkill3		usmc	256																					40	Sksyn	Skillname281	2		76	Firedplev	Skillname260	10		76	AFDImm	Skillname260	6		76	Ltngdplev	Skillname270	13		76	Colddplev	Skillname275	10												0
delerium change	0	0	0	0	2		Runeword22	Runeword22	Runeword22	Runeword22																																																																																																											0
interact	0	0	0	0	2		SkillNameInteract	SkillDescInteract	SkillDescInteract	SkillNameInteract																																																																																																											0
loot	0	0	0	0	2		SkillNameLoot	SkillDescLoot	SkillDescLoot	SkillNameLoot																																																																																																											0
townportal	0	0	0	0	18		skillname219	skillld219	skillld219	skillan219																																																																																																											0
emotewheel	0	0	0	0	2		SkillNameEmoteWheel	SkillDescEmoteWheel	SkillDescEmoteWheel	SkillNameEmoteWheel																																																																																																											0
swapweapons	0	0	0	0	2		SkillNameSwapWeapons	SkillDescSwapWeapons	SkillDescSwapWeapons	SkillNameSwapWeapons																																																																																																											0
map	0	0	0	0	2		SkillNameMap	SkillDescMap	SkillDescMap	SkillNameMap																																																																																																											0
showitems	0	0	0	0	2		SkillNameShowItems	SkillDescShowItems	SkillDescShowItems	SkillNameShowItems																																																																																																											0
runtoggle	0	0	0	0	2		SkillNameRunToggle	SkillDescRunToggle	SkillDescRunToggle	SkillNameRunToggle																																																																																																											0
